2026-08-15 09:00:00 INFO user login successful; source=192.168.10.21; event_id=SEC0001
2026-08-15 09:45:55 WARN access denied to restricted resource; source=198.51.100.91; event_id=SEC0096
2026-08-15 09:46:24 INFO user login successful; source=192.168.10.21; event_id=SEC0097
2026-08-15 09:46:53 WARN failed login attempt; source=192.168.10.22; event_id=SEC0098
2026-08-15 09:47:22 ALERT firewall blocked connection; source=192.168.10.30; event_id=SEC0099
2026-08-15 09:47:51 INFO antivirus scan completed; source=192.168.10.45; event_id=SEC0100
2026-08-15 09:48:20 WARN repeated authentication failure; source=203.0.113.25; event_id=SEC0101
2026-08-15 09:48:49 ALERT possible port scan detected; source=198.51.100.44; event_id=SEC0102
2026-08-15 09:49:18 INFO user logout; source=203.0.113.77; event_id=SEC0103
2026-08-15 09:49:47 WARN access denied to restricted resource; source=198.51.100.91; event_id=SEC0104
2026-08-15 09:50:16 INFO user login successful; source=192.168.10.21; event_id=SEC0105
2026-08-15 09:50:45 WARN failed login attempt; source=192.168.10.22; event_id=SEC0106
2026-08-15 09:51:14 ALERT firewall blocked connection; source=192.168.10.30; event_id=SEC0107
2026-08-15 09:51:43 INFO antivirus scan completed; source=192.168.10.45; event_id=SEC0108
2026-08-15 09:52:12 WARN repeated authentication failure; source=203.0.113.25; event_id=SEC0109
2026-08-15 09:52:41 ALERT possible port scan detected; source=198.51.100.44; event_id=SEC0110
2026-08-15 09:53:10 INFO user logout; source=203.0.113.77; event_id=SEC0111
2026-08-15 09:53:39 WARN access denied to restricted resource; source=198.51.100.91; event_id=SEC0112
2026-08-15 09:54:08 INFO user login successful; source=192.168.10.21; event_id=SEC0113
2026-08-15 09:54:37 WARN failed login attempt; source=192.168.10.22; event_id=SEC0114
2026-08-15 09:55:06 ALERT firewall blocked connection; source=192.168.10.30; event_id=SEC0115
2026-08-15 09:55:35 INFO antivirus scan completed; source=192.168.10.45; event_id=SEC0116
2026-08-15 09:56:04 WARN repeated authentication failure; source=203.0.113.25; event_id=SEC0117
2026-08-15 09:56:33 ALERT possible port scan detected; source=198.51.100.44; event_id=SEC0118
2026-08-15 09:57:02 INFO user logout; source=203.0.113.77; event_id=SEC0119
2026-08-15 09:57:31 WARN access denied to restricted resource; source=198.51.100.91; event_id=SEC0120
